account_id,tenure_years,seat_tier,seat_count,total_annual_ticket_spend,games_scheduled,games_attended,ticket_utilization_pct,secondary_resale_pct,total_season_concession_spend,rep_touchpoints_count,complaints_logged,customer_satisfaction_score,team_wins_attended,churned
NFL-STH-10030,4,Lower Bowl,2,3135,9,9,100.0,0.0,1148.4,3,0,10.0,6,0
NFL-STH-10031,1,Lower Bowl,4,6481,9,9,100.0,0.0,2450.7,2,0,9.0,5,0
NFL-STH-10032,1,Lower Bowl,2,3400,9,5,55.6,34.1,406.5,1,1,6.0,2,0
NFL-STH-10033,12,Upper Bowl,2,1640,9,9,100.0,0.0,1059.93,3,0,,0,0
NFL-STH-10034,14,Upper Bowl,2,1685,9,9,100.0,0.0,690.48,5,1,,5,0
NFL-STH-10035,7,Lower Bowl,4,6345,9,7,77.8,21.0,2113.02,4,0,8.0,4,0
NFL-STH-10036,2,Club VIP,2,6494,9,7,77.8,25.3,1387.4,3,0,10.0,3,0
NFL-STH-10037,1,Lower Bowl,4,7021,9,8,88.9,4.5,2227.84,4,0,9.0,3,0
NFL-STH-10038,5,Lower Bowl,2,3072,9,7,77.8,19.8,636.37,6,0,,3,0
NFL-STH-10039,3,Lower Bowl,2,3288,9,8,88.9,1.7,1148.48,4,2,8.0,5,0
NFL-STH-10040,1,Upper Bowl,2,1660,9,5,55.6,55.6,364.4,2,1,7.0,3,0
NFL-STH-10041,3,Lower Bowl,4,7011,9,6,66.7,30.4,1570.5,2,0,,3,0
NFL-STH-10042,1,Lower Bowl,2,3094,9,7,77.8,36.7,1056.58,2,0,,2,0
NFL-STH-10043,10,Club VIP,4,12934,9,9,100.0,0.0,3210.75,2,0,9.0,3,0
NFL-STH-10044,2,Upper Bowl,4,3606,9,7,77.8,37.5,928.34,2,0,9.0,5,0
NFL-STH-10045,5,Upper Bowl,4,3589,9,8,88.9,10.3,1426.32,2,0,10.0,5,0
NFL-STH-10046,2,Club VIP,2,6485,9,5,55.6,34.3,1724.55,2,0,8.0,3,0
NFL-STH-10047,3,Upper Bowl,2,1703,9,4,44.4,34.7,308.96,1,0,8.0,0,0
NFL-STH-10048,4,Lower Bowl,4,6461,9,7,77.8,7.5,2068.29,2,0,9.0,3,0
NFL-STH-10049,1,Club VIP,2,6333,9,8,88.9,0.0,1877.2,1,1,,5,0
NFL-STH-10050,14,Lower Bowl,4,6277,9,7,77.8,36.0,2635.71,4,1,8.0,6,0
NFL-STH-10051,6,Lower Bowl,2,3271,9,6,66.7,34.5,465.48,1,1,8.0,3,0
NFL-STH-10052,12,Lower Bowl,6,9506,9,9,100.0,0.0,3586.68,4,1,9.0,7,0
NFL-STH-10053,10,Upper Bowl,4,3376,9,6,66.7,37.2,569.88,2,0,9.0,2,0
NFL-STH-10054,4,Upper Bowl,8,7129,9,9,100.0,0.0,1075.23,1,0,10.0,4,0
NFL-STH-10055,11,Upper Bowl,2,1861,9,7,77.8,0.0,601.65,4,0,10.0,4,0
NFL-STH-10056,1,Lower Bowl,4,6659,9,9,100.0,0.0,2415.33,4,1,9.0,5,0
NFL-STH-10057,1,Lower Bowl,2,3076,9,8,88.9,0.0,971.6,4,2,7.0,3,0
NFL-STH-10058,1,Upper Bowl,2,1634,9,6,66.7,42.2,467.28,2,0,10.0,4,0
NFL-STH-10059,2,Lower Bowl,4,6993,9,7,77.8,25.1,3121.3,2,1,10.0,5,0
NFL-STH-10060,2,Club VIP,4,12730,9,8,88.9,9.6,3633.44,2,0,10.0,2,0
NFL-STH-10061,2,Lower Bowl,8,12336,9,4,44.4,61.2,2324.84,2,0,7.0,1,0
NFL-STH-10062,8,Upper Bowl,4,3535,9,8,88.9,27.5,1072.24,2,0,,3,0
NFL-STH-10063,2,Lower Bowl,2,3339,9,8,88.9,8.9,1110.88,5,0,9.0,6,0
NFL-STH-10064,2,Club VIP,2,6702,9,9,100.0,0.0,2052.81,1,0,10.0,7,0
NFL-STH-10065,4,Upper Bowl,4,3366,9,8,88.9,11.8,1148.64,1,0,10.0,7,0
NFL-STH-10066,1,Lower Bowl,2,3047,9,7,77.8,24.1,1291.99,5,0,7.0,5,0
NFL-STH-10067,7,Lower Bowl,2,3503,9,7,77.8,46.1,1157.24,3,0,9.0,3,0
NFL-STH-10068,1,Lower Bowl,2,3160,9,7,77.8,1.2,938.7,2,0,9.0,5,0
NFL-STH-10069,18,Lower Bowl,2,3364,9,9,100.0,0.0,547.83,4,0,9.0,4,0
NFL-STH-10070,6,Upper Bowl,2,1795,9,9,100.0,0.0,655.02,2,0,10.0,6,0
NFL-STH-10071,1,Lower Bowl,2,3332,9,8,88.9,17.9,1688.72,3,0,9.0,5,0
NFL-STH-10072,1,Lower Bowl,2,3190,9,4,44.4,54.5,492.32,3,0,8.0,0,1
NFL-STH-10073,7,Upper Bowl,2,1684,9,2,22.2,83.5,204.12,4,1,8.0,2,1
NFL-STH-10074,5,Upper Bowl,8,7069,9,6,66.7,26.7,2612.16,4,0,,4,1
NFL-STH-10075,6,Upper Bowl,2,1835,9,8,88.9,10.6,675.04,2,0,9.0,5,0
NFL-STH-10076,6,Lower Bowl,2,3494,9,4,44.4,62.7,419.0,2,1,,3,1
NFL-STH-10077,1,Lower Bowl,4,6181,9,9,100.0,0.0,1024.92,1,1,10.0,5,0
NFL-STH-10078,2,Upper Bowl,2,1654,9,6,66.7,64.4,562.08,6,1,,4,0
NFL-STH-10079,1,Upper Bowl,6,5567,9,3,33.3,74.8,573.33,4,0,7.0,1,1
NFL-STH-10080,8,Club VIP,4,13574,9,9,100.0,0.0,4478.58,3,0,,4,0
NFL-STH-10081,4,Club VIP,2,6927,9,9,100.0,0.0,1597.59,2,0,9.0,5,0
NFL-STH-10082,2,Lower Bowl,2,3137,9,5,55.6,35.9,610.2,2,0,9.0,5,0
NFL-STH-10083,1,Upper Bowl,4,3529,9,9,100.0,0.0,1452.15,2,1,10.0,5,0
NFL-STH-10084,2,Lower Bowl,6,10129,9,8,88.9,6.9,3313.36,5,0,,7,0
NFL-STH-10085,2,Lower Bowl,2,3366,9,9,100.0,0.0,869.04,1,0,9.0,5,0
NFL-STH-10086,6,Club VIP,4,12943,9,8,88.9,6.6,4797.52,3,0,,4,0
NFL-STH-10087,5,Upper Bowl,2,1618,9,7,77.8,4.2,476.42,1,0,10.0,5,0
NFL-STH-10088,9,Upper Bowl,8,7054,9,7,77.8,18.9,1302.28,1,0,,3,0
NFL-STH-10089,3,Lower Bowl,2,3161,9,3,33.3,74.0,380.19,7,0,,0,0
NFL-STH-10090,1,Upper Bowl,6,5189,9,7,77.8,9.5,1694.42,6,1,9.0,3,0
NFL-STH-10091,5,Upper Bowl,4,3718,9,5,55.6,54.9,832.1,1,2,6.0,3,0
NFL-STH-10092,6,Lower Bowl,4,6463,9,8,88.9,16.0,2733.84,5,0,,4,0
NFL-STH-10093,4,Lower Bowl,2,3443,9,8,88.9,3.8,983.28,3,0,8.0,2,0
NFL-STH-10094,6,Lower Bowl,2,3130,9,9,100.0,0.0,1137.69,2,0,10.0,6,0
NFL-STH-10095,3,Upper Bowl,2,1786,9,5,55.6,43.0,289.7,3,0,8.0,2,0
NFL-STH-10096,3,Lower Bowl,2,3508,9,6,66.7,49.3,927.72,3,1,8.0,6,0
NFL-STH-10097,3,Upper Bowl,2,1640,9,7,77.8,29.5,585.83,4,0,9.0,7,0
NFL-STH-10098,1,Upper Bowl,4,3234,9,5,55.6,44.5,716.0,6,0,9.0,2,0
NFL-STH-10099,1,Lower Bowl,2,3248,9,7,77.8,19.8,510.02,3,0,9.0,3,0
NFL-STH-10100,1,Upper Bowl,2,1638,9,7,77.8,23.0,762.23,3,0,9.0,3,0
NFL-STH-10101,5,Lower Bowl,6,10197,9,8,88.9,6.0,2236.08,5,0,10.0,2,0
NFL-STH-10102,2,Lower Bowl,4,6957,9,7,77.8,1.2,1571.64,0,0,8.0,5,0
NFL-STH-10103,3,Upper Bowl,6,5177,9,3,33.3,85.0,784.5,5,0,,2,0
NFL-STH-10104,10,Upper Bowl,8,6723,9,6,66.7,34.9,1345.68,2,0,8.0,2,0
NFL-STH-10105,2,Lower Bowl,2,3248,9,8,88.9,15.1,681.52,1,0,,6,0
NFL-STH-10106,3,Upper Bowl,2,1799,9,6,66.7,32.7,225.12,4,1,8.0,3,0
NFL-STH-10107,6,Upper Bowl,4,3234,9,9,100.0,0.0,1699.56,4,0,9.0,5,0
NFL-STH-10108,2,Lower Bowl,4,6645,9,7,77.8,14.8,1591.03,5,0,8.0,6,0
NFL-STH-10109,1,Upper Bowl,2,1771,9,6,66.7,31.4,831.3,2,0,8.0,4,0
NFL-STH-10110,2,Club VIP,4,13384,9,8,88.9,0.0,3044.48,2,0,10.0,4,0
NFL-STH-10111,1,Lower Bowl,2,3156,9,7,77.8,45.0,716.52,4,1,,2,0
NFL-STH-10112,11,Lower Bowl,2,3382,9,8,88.9,0.0,904.32,4,3,6.0,4,0
NFL-STH-10113,7,Upper Bowl,2,1638,9,5,55.6,34.1,424.3,3,0,,2,0
NFL-STH-10114,5,Upper Bowl,4,3331,9,7,77.8,17.8,988.33,1,0,10.0,4,0
NFL-STH-10115,9,Lower Bowl,4,6922,9,9,100.0,0.0,2670.66,1,0,10.0,6,0
NFL-STH-10116,7,Lower Bowl,2,3394,9,5,55.6,57.3,503.2,1,0,7.0,4,0
NFL-STH-10117,1,Upper Bowl,4,3237,9,8,88.9,11.2,837.92,1,0,10.0,5,0
NFL-STH-10118,9,Club VIP,2,6318,9,9,100.0,0.0,1350.81,4,1,9.0,8,0
NFL-STH-10119,4,Upper Bowl,2,1669,9,7,77.8,9.8,248.71,3,0,10.0,5,0
NFL-STH-10120,7,Upper Bowl,4,3368,9,8,88.9,23.6,1114.24,4,0,10.0,5,0
NFL-STH-10121,10,Lower Bowl,6,9476,9,9,100.0,0.0,3266.19,3,0,9.0,5,0
NFL-STH-10122,2,Upper Bowl,4,3261,9,5,55.6,51.7,673.7,3,0,8.0,5,0
NFL-STH-10123,1,Lower Bowl,4,6520,9,7,77.8,27.6,2342.2,3,0,9.0,4,0
NFL-STH-10124,2,Upper Bowl,4,3603,9,4,44.4,62.8,836.48,0,0,8.0,2,0
NFL-STH-10125,3,Upper Bowl,4,3539,9,5,55.6,68.3,733.05,6,0,9.0,4,0
NFL-STH-10126,7,Upper Bowl,2,1786,9,5,55.6,66.3,220.6,4,0,7.0,1,0
NFL-STH-10127,8,Lower Bowl,2,3078,9,8,88.9,4.2,904.0,1,0,10.0,6,0
NFL-STH-10128,1,Upper Bowl,2,1857,9,7,77.8,38.4,476.0,6,1,8.0,2,0
NFL-STH-10129,3,Lower Bowl,2,3442,9,7,77.8,26.0,772.03,1,0,10.0,7,0
NFL-STH-10130,3,Lower Bowl,4,6852,9,5,55.6,49.4,1090.7,3,0,,1,0
NFL-STH-10131,2,Club VIP,2,6870,9,7,77.8,5.3,1451.31,6,0,9.0,6,0
NFL-STH-10132,1,Lower Bowl,2,3487,9,8,88.9,9.4,947.2,3,0,9.0,3,0
NFL-STH-10133,2,Lower Bowl,2,3301,9,5,55.6,36.3,554.65,1,0,8.0,3,0
NFL-STH-10134,12,Upper Bowl,4,3332,9,9,100.0,0.0,1514.97,4,0,,4,0
NFL-STH-10135,2,Upper Bowl,2,1772,9,7,77.8,30.5,610.47,1,1,8.0,4,0
NFL-STH-10136,3,Club VIP,4,13586,9,7,77.8,32.9,2722.58,4,1,7.0,6,0
NFL-STH-10137,5,Upper Bowl,2,1803,9,4,44.4,34.9,421.68,5,0,10.0,1,0
NFL-STH-10138,2,Lower Bowl,2,3290,9,9,100.0,0.0,905.4,1,0,,7,0
NFL-STH-10139,15,Upper Bowl,4,3264,9,3,33.3,66.5,285.87,2,0,,0,0
NFL-STH-10140,14,Upper Bowl,4,3419,9,3,33.3,77.9,525.69,5,0,8.0,3,0
NFL-STH-10141,2,Lower Bowl,2,3481,9,9,100.0,0.0,949.32,9,0,10.0,5,0
NFL-STH-10142,3,Upper Bowl,4,3528,9,7,77.8,20.3,1209.95,5,0,7.0,3,0
NFL-STH-10143,2,Lower Bowl,4,6596,9,4,44.4,62.9,463.12,4,0,6.0,2,0
NFL-STH-10144,2,Lower Bowl,2,3169,9,5,55.6,47.9,858.85,4,1,,4,0
NFL-STH-10145,1,Upper Bowl,4,3417,9,5,55.6,47.8,934.45,4,0,8.0,2,0
NFL-STH-10146,4,Lower Bowl,4,6939,9,9,100.0,0.0,1529.73,3,1,10.0,4,0
NFL-STH-10147,3,Lower Bowl,4,6719,9,8,88.9,8.4,1370.16,2,0,8.0,2,0
NFL-STH-10148,1,Lower Bowl,4,6835,9,7,77.8,10.0,2522.38,2,0,10.0,4,0
NFL-STH-10149,2,Upper Bowl,4,3461,9,7,77.8,11.0,913.5,7,0,,4,0
NFL-STH-10150,10,Lower Bowl,4,6685,9,9,100.0,0.0,1889.55,4,0,9.0,5,0
NFL-STH-10151,2,Lower Bowl,4,6318,9,9,100.0,0.0,1116.36,3,0,9.0,6,0
NFL-STH-10152,1,Upper Bowl,4,3589,9,7,77.8,29.3,1021.79,1,0,,3,0
NFL-STH-10153,3,Upper Bowl,4,3448,9,7,77.8,22.4,1056.23,1,0,8.0,4,0
NFL-STH-10154,17,Club VIP,4,13009,9,9,100.0,0.0,4963.95,2,1,7.0,5,0
NFL-STH-10155,2,Lower Bowl,4,6703,9,7,77.8,20.8,1232.42,2,0,,4,0
NFL-STH-10156,5,Club VIP,2,6978,9,8,88.9,6.9,1311.92,4,0,9.0,4,0
NFL-STH-10157,6,Lower Bowl,4,6141,9,8,88.9,8.0,2296.48,3,0,9.0,2,0
NFL-STH-10158,2,Lower Bowl,4,6871,9,8,88.9,21.6,2563.2,4,0,9.0,4,0
NFL-STH-10159,6,Upper Bowl,2,1689,9,6,66.7,29.9,291.48,6,0,,3,0
NFL-STH-10160,2,Upper Bowl,4,3456,9,5,55.6,31.0,1016.3,2,0,6.0,2,0
NFL-STH-10161,5,Upper Bowl,2,1620,9,9,100.0,0.0,726.75,5,0,10.0,4,0
NFL-STH-10162,5,Lower Bowl,2,3184,9,8,88.9,18.5,1302.0,1,1,9.0,7,0
NFL-STH-10163,4,Upper Bowl,4,3486,9,5,55.6,42.4,785.95,4,0,8.0,4,0
NFL-STH-10164,1,Lower Bowl,2,3066,9,2,22.2,78.1,108.66,2,0,7.0,2,1
NFL-STH-10165,8,Upper Bowl,4,3480,9,8,88.9,27.2,1231.36,5,0,10.0,5,0
NFL-STH-10166,2,Upper Bowl,4,3702,9,7,77.8,22.0,1416.87,2,1,7.0,3,0
NFL-STH-10167,1,Club VIP,2,6181,9,8,88.9,14.0,1562.48,4,2,8.0,5,0
NFL-STH-10168,1,Upper Bowl,2,1809,9,6,66.7,21.5,433.44,2,0,8.0,4,0
NFL-STH-10169,4,Lower Bowl,2,3236,9,8,88.9,8.9,997.76,6,0,9.0,3,0
NFL-STH-10170,5,Upper Bowl,4,3564,9,5,55.6,50.5,220.1,2,0,9.0,2,0
NFL-STH-10171,1,Club VIP,8,25319,9,9,100.0,0.0,11648.43,0,1,8.0,4,0
NFL-STH-10172,3,Lower Bowl,4,6233,9,8,88.9,0.0,1647.36,2,0,9.0,5,0
NFL-STH-10173,2,Upper Bowl,2,1655,9,4,44.4,57.6,360.44,3,0,9.0,3,0
NFL-STH-10174,5,Lower Bowl,4,6147,9,9,100.0,0.0,2293.2,2,1,9.0,8,0
NFL-STH-10175,1,Upper Bowl,2,1662,9,5,55.6,45.4,525.75,4,0,8.0,4,0
NFL-STH-10176,5,Lower Bowl,4,6717,9,9,100.0,0.0,2559.24,2,1,9.0,6,0
NFL-STH-10177,2,Upper Bowl,2,1839,9,3,33.3,67.1,225.9,2,0,8.0,2,0
NFL-STH-10178,12,Upper Bowl,4,3645,9,6,66.7,43.7,745.56,4,0,8.0,5,0
NFL-STH-10179,1,Lower Bowl,2,3368,9,8,88.9,14.4,1231.52,1,0,10.0,6,0
NFL-STH-10180,2,Lower Bowl,6,9279,9,9,100.0,0.0,1992.51,1,0,,6,0
NFL-STH-10181,1,Lower Bowl,2,3178,9,7,77.8,37.0,1045.66,4,0,10.0,3,0
NFL-STH-10182,11,Club VIP,4,12754,9,9,100.0,0.0,3330.9,3,0,10.0,5,0
NFL-STH-10183,9,Lower Bowl,6,9479,9,8,88.9,1.2,4021.68,8,0,10.0,4,0
NFL-STH-10184,2,Upper Bowl,2,1746,9,6,66.7,34.7,499.38,1,0,,4,0
NFL-STH-10185,5,Upper Bowl,6,5254,9,7,77.8,23.0,1950.55,4,0,9.0,4,0
NFL-STH-10186,7,Upper Bowl,4,3412,9,6,66.7,22.6,979.68,2,0,10.0,5,0
NFL-STH-10187,4,Upper Bowl,2,1705,9,9,100.0,0.0,404.55,2,0,10.0,6,0
NFL-STH-10188,4,Upper Bowl,2,1826,9,7,77.8,31.8,439.53,3,0,10.0,2,0
NFL-STH-10189,2,Upper Bowl,4,3632,9,8,88.9,34.3,1495.2,4,0,10.0,2,0
NFL-STH-10190,1,Lower Bowl,2,3187,9,8,88.9,10.9,1080.0,3,0,9.0,4,0
NFL-STH-10191,10,Upper Bowl,4,3696,9,7,77.8,27.3,1450.68,4,1,7.0,2,0
NFL-STH-10192,10,Upper Bowl,2,1857,9,6,66.7,34.1,528.42,5,1,,3,0
NFL-STH-10193,5,Lower Bowl,4,6393,9,8,88.9,4.0,1616.0,5,0,,7,0
NFL-STH-10194,2,Club VIP,2,6420,9,9,100.0,0.0,1801.8,2,1,,1,0
NFL-STH-10195,2,Lower Bowl,4,6565,9,7,77.8,4.0,1863.26,5,1,6.0,6,0
NFL-STH-10196,6,Lower Bowl,8,13966,9,4,44.4,48.5,969.24,3,1,8.0,2,0
NFL-STH-10197,10,Upper Bowl,6,5515,9,4,44.4,41.7,1361.64,5,0,,3,0
NFL-STH-10198,9,Lower Bowl,4,6178,9,7,77.8,39.2,2005.5,3,0,8.0,4,0
NFL-STH-10199,7,Lower Bowl,2,3228,9,7,77.8,21.0,1167.67,6,0,9.0,3,0
NFL-STH-10200,5,Upper Bowl,4,3512,9,9,100.0,0.0,871.02,1,0,10.0,5,0
NFL-STH-10201,1,Club VIP,2,6563,9,8,88.9,7.6,2417.84,1,0,,5,0
NFL-STH-10202,1,Lower Bowl,2,3133,9,7,77.8,31.1,1378.58,4,0,9.0,4,0
NFL-STH-10203,10,Club VIP,2,6904,9,7,77.8,11.0,1217.72,3,0,,4,0
NFL-STH-10204,4,Upper Bowl,2,1787,9,4,44.4,47.9,381.72,7,0,9.0,0,0
NFL-STH-10205,1,Upper Bowl,4,3657,9,3,33.3,67.4,480.12,2,0,,1,0
NFL-STH-10206,1,Lower Bowl,4,6904,9,5,55.6,54.7,836.65,0,0,8.0,3,1
NFL-STH-10207,5,Upper Bowl,2,1805,9,9,100.0,0.0,808.74,2,1,8.0,6,0
NFL-STH-10208,1,Lower Bowl,2,3250,9,6,66.7,38.3,930.06,3,0,9.0,2,0
NFL-STH-10209,1,Upper Bowl,8,7082,9,7,77.8,24.7,1903.37,2,0,8.0,5,0
NFL-STH-10210,4,Upper Bowl,2,1655,9,9,100.0,0.0,929.88,3,0,9.0,6,0
NFL-STH-10211,5,Upper Bowl,2,1786,9,6,66.7,34.1,279.96,3,0,7.0,4,0
NFL-STH-10212,5,Club VIP,2,6252,9,9,100.0,0.0,1487.34,1,0,10.0,3,0
NFL-STH-10213,2,Upper Bowl,4,3583,9,6,66.7,37.3,992.76,4,1,8.0,5,1
NFL-STH-10214,5,Upper Bowl,4,3347,9,8,88.9,13.1,1288.16,4,0,,6,0
NFL-STH-10215,2,Lower Bowl,2,3096,9,8,88.9,0.8,868.0,4,0,10.0,4,0
NFL-STH-10216,2,Upper Bowl,2,1657,9,4,44.4,56.1,384.76,3,1,6.0,3,0
NFL-STH-10217,6,Lower Bowl,4,6081,9,7,77.8,11.5,2042.95,2,0,8.0,4,0
NFL-STH-10218,5,Upper Bowl,4,3596,9,5,55.6,45.2,971.65,2,0,9.0,3,0
NFL-STH-10219,8,Club VIP,2,6783,9,8,88.9,6.3,1870.72,2,0,,5,0
NFL-STH-10220,5,Upper Bowl,6,5238,9,7,77.8,47.6,1933.05,0,0,8.0,5,0
NFL-STH-10221,4,Lower Bowl,2,3117,9,6,66.7,32.9,699.78,4,0,10.0,5,0
NFL-STH-10222,1,Club VIP,2,6160,9,9,100.0,0.0,3084.21,2,0,9.0,4,0
NFL-STH-10223,2,Lower Bowl,6,9147,9,6,66.7,19.3,1901.22,4,0,9.0,2,0
NFL-STH-10224,2,Club VIP,2,6239,9,9,100.0,0.0,3107.34,2,1,,6,0
NFL-STH-10225,2,Lower Bowl,4,6935,9,8,88.9,9.8,2096.72,7,0,9.0,6,0
NFL-STH-10226,15,Lower Bowl,2,3155,9,9,100.0,0.0,798.57,5,1,10.0,7,0
NFL-STH-10227,2,Lower Bowl,2,3210,9,5,55.6,49.6,855.2,3,0,7.0,2,0
NFL-STH-10228,9,Lower Bowl,8,12362,9,8,88.9,27.8,4280.88,1,0,10.0,4,0
NFL-STH-10229,4,Lower Bowl,2,3146,9,6,66.7,27.4,933.18,4,0,8.0,4,0
NFL-STH-10230,7,Upper Bowl,4,3494,9,7,77.8,6.4,1462.65,1,0,8.0,3,0
NFL-STH-10231,3,Club VIP,2,6663,9,9,100.0,0.0,2312.1,2,0,10.0,4,0
NFL-STH-10232,4,Upper Bowl,2,1677,9,5,55.6,52.6,340.8,2,0,7.0,1,0
NFL-STH-10233,3,Upper Bowl,2,1629,9,6,66.7,19.5,597.06,4,1,9.0,5,0
NFL-STH-10234,1,Upper Bowl,4,3429,9,6,66.7,28.9,960.18,5,0,,4,0
NFL-STH-10235,6,Lower Bowl,2,3152,9,6,66.7,30.7,903.48,2,0,,5,0
NFL-STH-10236,2,Upper Bowl,4,3341,9,8,88.9,10.4,590.8,2,2,,3,0
NFL-STH-10237,1,Lower Bowl,2,3500,9,5,55.6,51.3,717.05,2,0,9.0,2,0
NFL-STH-10238,5,Club VIP,6,20014,9,9,100.0,0.0,5617.89,3,0,10.0,5,0
NFL-STH-10239,1,Lower Bowl,2,3307,9,9,100.0,0.0,1616.4,4,0,9.0,7,0
NFL-STH-10240,12,Upper Bowl,4,3442,9,9,100.0,0.0,1664.28,1,0,10.0,6,0
NFL-STH-10241,13,Club VIP,4,12983,9,8,88.9,4.3,4031.92,4,0,10.0,5,0
NFL-STH-10242,10,Lower Bowl,4,6599,9,9,100.0,0.0,2602.62,5,0,,5,0
NFL-STH-10243,2,Upper Bowl,4,3585,9,8,88.9,8.4,960.48,1,0,,5,0
NFL-STH-10244,1,Upper Bowl,4,3588,9,6,66.7,33.2,1349.58,2,0,8.0,5,0
NFL-STH-10245,11,Lower Bowl,4,6244,9,8,88.9,12.6,3035.84,3,0,,4,0
NFL-STH-10246,3,Club VIP,2,6560,9,9,100.0,0.0,2336.85,1,1,,6,0
NFL-STH-10247,14,Upper Bowl,2,1720,9,5,55.6,45.4,559.05,3,1,9.0,3,0
NFL-STH-10248,14,Lower Bowl,6,10373,9,9,100.0,0.0,3049.02,4,0,8.0,7,0
NFL-STH-10249,8,Club VIP,4,13372,9,7,77.8,26.6,2802.03,4,0,9.0,3,0
NFL-STH-10250,2,Club VIP,4,13182,9,6,66.7,41.7,2904.54,3,1,9.0,3,0
NFL-STH-10251,2,Upper Bowl,2,1644,9,8,88.9,15.0,709.6,5,0,9.0,3,0
NFL-STH-10252,8,Upper Bowl,2,1769,9,8,88.9,15.6,576.96,1,0,10.0,4,0
NFL-STH-10253,2,Upper Bowl,2,1644,9,5,55.6,28.6,453.8,4,0,10.0,1,0
NFL-STH-10254,1,Upper Bowl,4,3401,9,7,77.8,22.7,1205.82,2,1,7.0,2,0
NFL-STH-10255,4,Lower Bowl,2,3108,9,5,55.6,49.2,500.25,1,0,8.0,3,0
NFL-STH-10256,12,Lower Bowl,2,3372,9,9,100.0,0.0,1310.04,4,3,5.0,3,0
NFL-STH-10257,5,Lower Bowl,2,3139,9,7,77.8,29.5,1091.37,3,0,,4,0
NFL-STH-10258,4,Lower Bowl,2,3228,9,7,77.8,15.3,945.98,2,0,8.0,4,0
NFL-STH-10259,1,Lower Bowl,4,6939,9,7,77.8,15.6,2304.12,2,0,9.0,6,0
NFL-STH-10260,4,Upper Bowl,2,1667,9,5,55.6,38.7,278.25,1,0,9.0,3,0
